Pickup_Latitude,Pickup_Longitude,Dropoff_Lattitude,Dropoff_Longitude,Counts
40.752,-73.978,40.75,-73.991,4608
40.762,-73.979,40.75,-73.991,3089
40.752,-73.977,40.75,-73.991,2949
40.763,-73.982,40.75,-73.991,2894
40.743,-74,40.75,-73.995,2544
40.74,-74.006,40.75,-73.995,2504
40.757,-73.986,40.75,-73.991,2469
40.741,-73.986,40.751,-73.978,2404
40.739,-73.987,40.751,-73.978,2373
40.759,-73.985,40.75,-73.991,2373
40.742,-74.004,40.75,-73.995,2358
40.749,-73.992,40.741,-73.988,2321
40.738,-73.988,40.751,-73.978,2320
40.751,-73.994,40.759,-73.986,2301
40.774,-73.871,40.762,-73.979,2281
40.774,-73.873,40.762,-73.979,2279
40.75,-73.992,40.741,-73.988,2247
40.737,-73.989,40.751,-73.978,2246
40.751,-73.994,40.762,-73.979,2241
40.769,-73.863,40.762,-73.979,2199
40.751,-73.994,40.756,-73.991,2196
40.751,-74.006,40.75,-73.995,2104
40.758,-73.986,40.75,-73.991,2078
40.765,-73.981,40.75,-73.991,2064
40.75,-73.991,40.753,-73.979,2062
40.752,-73.978,40.751,-73.991,2056
40.75,-73.991,40.741,-73.988,2005
40.743,-73.984,40.751,-73.978,1995
40.75,-73.991,40.762,-73.979,1994
40.742,-74.001,40.75,-73.995,1991
40.764,-73.981,40.75,-73.991,1973
40.762,-73.982,40.75,-73.991,1949
40.751,-73.994,40.756,-74.002,1926
40.74,-74.002,40.75,-73.995,1900
40.752,-73.978,40.75,-73.992,1891
40.751,-73.994,40.761,-73.987,1857
40.76,-73.984,40.75,-73.991,1848
40.762,-73.983,40.75,-73.991,1840
40.753,-73.978,40.75,-73.991,1820
40.75,-73.992,40.753,-73.979,1818
40.742,-73.985,40.751,-73.978,1796
40.774,-73.873,40.756,-73.973,1773
40.751,-73.994,40.758,-73.989,1750
40.748,-74.004,40.75,-73.995,1743
40.75,-73.991,40.752,-73.978,1737
40.741,-74.002,40.75,-73.995,1728
40.751,-73.994,40.753,-73.979,1708
40.75,-73.992,40.762,-73.979,1706
40.769,-73.863,40.756,-73.973,1701
40.804,-73.967,40.795,-73.972,1681
40.715,-74.016,40.721,-74.01,1644
40.715,-74.016,40.75,-73.995,1639
40.759,-73.986,40.75,-73.991,1639
40.762,-73.979,40.774,-73.871,1629
40.742,-73.975,40.752,-73.977,1605
40.751,-73.994,40.752,-73.978,1594
40.756,-73.987,40.75,-73.991,1586
40.745,-73.999,40.75,-73.995,1557
40.732,-73.982,40.742,-73.975,1535
40.779,-73.962,40.764,-73.973,1532
40.756,-73.973,40.75,-73.991,1523
40.761,-73.983,40.75,-73.991,1463
